pose_id,pose_type,pose_name,gesture_type,hand_type,view_type
126,meaning,손가락 접기,your_hand,left,3rd
128,meaning,최고,your_hand,left,3rd
129,meaning,약속,your_hand,left,3rd
131,meaning,"검지,중지 교차",your_hand,left,3rd
132,meaning,"엄지,중지 붙이기",your_hand,left,3rd
133,meaning,"엄지,약지 붙이기",your_hand,left,3rd
134,meaning,"엄지,소지 붙이기",your_hand,left,3rd
135,meaning,파이팅,your_hand,left,3rd
136,meaning,총,your_hand,left,3rd
137,meaning,동그라미,your_hand,left,3rd
138,meaning,경고(주먹 내밀기),your_hand,left,3rd
139,meaning,OK,your_hand,left,3rd
140,meaning,빅토리,your_hand,left,3rd
141,meaning,부정(엄지손 아래로),your_hand,left,3rd
142,meaning,부정(검지 흔들기),your_hand,left,3rd
143,meaning,손바닥,your_hand,left,3rd
144,meaning,"약지,소지 가위",your_hand,left,3rd
145,meaning,손하트,your_hand,right,3rd
146,meaning,주먹쥐기,your_hand,right,3rd
147,meaning,손가락 오므리기,your_hand,right,3rd
148,meaning,전화모양,your_hand,right,3rd
149,meaning,약속,your_hand,right,3rd
150,meaning,손 안경,your_hand,right,3rd
151,meaning,손가락 접기,your_hand,right,3rd
153,meaning,최고,your_hand,right,3rd
154,meaning,약속,your_hand,right,3rd
155,meaning,꼬집기,your_hand,right,3rd
156,meaning,"검지,중지 교차",your_hand,right,3rd
157,meaning,"엄지,중지 붙이기",your_hand,right,3rd
158,meaning,"엄지,약지 붙이기",your_hand,right,3rd
159,meaning,"엄지,소지 붙이기",your_hand,right,3rd
160,meaning,파이팅,your_hand,right,3rd
161,meaning,총,your_hand,right,3rd
162,meaning,동그라미,your_hand,right,3rd
163,meaning,경고(주먹 내밀기),your_hand,right,3rd
165,meaning,빅토리,your_hand,right,3rd
167,meaning,부정(검지 흔들기),your_hand,right,3rd
168,meaning,손바닥,your_hand,right,3rd
169,meaning,"약지,소지 가위",your_hand,right,3rd
171,meaning,주먹쥐기,your_hand,both,3rd
172,meaning,손가락 오므리기,your_hand,both,3rd
173,meaning,전화모양,your_hand,both,3rd
174,meaning,약속,your_hand,both,3rd
175,meaning,손 안경,your_hand,both,3rd
177,meaning,손 토끼,your_hand,both,3rd
186,meaning,큰하트,your_hand,both,3rd
188,meaning,네모,your_hand,both,3rd
189,meaning,세모,your_hand,both,3rd
190,meaning,동그라미,your_hand,both,3rd
191,meaning,경고(주먹 내밀기),your_hand,both,3rd
192,meaning,X,your_hand,both,3rd
193,meaning,OK,your_hand,both,3rd
194,meaning,빅토리,your_hand,both,3rd
195,meaning,부정(엄지손 아래로),your_hand,both,3rd
